"id_char","input_char","new_char","language_abbrev","special_group"
1,e,é,FR,acute
2,a,â,FR,circumflex
3,e,ê,FR,circumflex
4,i,î,FR,circumflex
5,o,ô,FR,circumflex
6,u,û,FR,circumflex
7,a,à,FR,grave
8,e,è,FR,grave
9,i,ì,FR,grave
10,o,ò,FR,grave
11,u,ù,FR,grave
12,e,ë,FR,trema
13,i,ï,FR,trema
14,u,ü,FR,trema
15,c,ç,FR,sub_curl
16,e,œ,FR,oe
17,<,«,FR,other
18,>,»,FR,other
19,c,€,FR,other
20,a,á,SP,acute
21,e,é,SP,acute
22,i,í,SP,acute
23,o,ó,SP,acute
24,u,ú,SP,acute
25,u,ü,SP,trema
26,n,ñ,SP,special
27,<,«,SP,other
28,>,»,SP,other
29,c,€,SP,other
30,?,¿,SP,other
31,!,¡,SP,other
32,c,ć,PO,acute
33,n,ń,PO,acute
34,o,ó,PO,acute
35,s,ś,PO,acute
36,z,ź,PO,acute
37,a,ą,PO,sub_curl
38,e,ę,PO,sub_curl
39,l,ł,PO,special
40,z,ż,PO,special
41,o,ö,TU,trema
42,u,ü,TU,trema
43,c,ç,TU,sub_curl
44,s,ş,TU,sub_curl
45,g,ğ,TU,special
46,i,ı,TU,special
47,e,é,SW,acute
48,a,ä,SW,trema
49,o,ö,SW,trema
50,a,å,SW,special
